Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
AA,08/10/18,42.45,45.17,42.05,44.98,7608200,1.99,4.63%
AA,08/09/18,44.27,44.40,42.81,42.99,3058372,-0.71,-1.62%
AA,08/08/18,42.00,44.32,41.95,43.70,6489177,1.73,4.12%
AA,08/07/18,43.21,43.40,41.90,41.97,2886866,-0.75,-1.76%
AA,08/06/18,42.53,42.98,42.21,42.72,3233414,0.00,0.00%
AA,08/03/18,42.54,43.30,42.31,42.72,2101700,0.24,0.56%
AA,08/02/18,41.63,42.75,41.46,42.48,2571636,0.44,1.05%
AA,08/01/18,43.01,43.01,41.90,42.04,3886643,-1.23,-2.84%
AA,07/31/18,42.68,43.61,42.66,43.27,2557641,0.69,1.62%
AA,07/30/18,43.38,43.68,42.32,42.58,2703372,-0.64,-1.48%
AA,07/27/18,42.86,43.48,42.36,43.22,3978800,0.40,0.93%
AA,07/26/18,42.70,43.46,42.05,42.82,3023333,-0.29,-0.67%
AA,07/25/18,42.10,43.24,41.65,43.11,5680709,0.62,1.46%
AA,07/24/18,42.35,43.10,42.00,42.49,8243903,1.16,2.81%
AA,07/23/18,40.86,41.82,40.08,41.33,7709783,1.01,2.50%
AA,07/20/18,41.53,41.55,40.03,40.32,9855642,-1.24,-2.98%
AA,07/19/18,45.75,46.27,41.02,41.56,19920179,-6.40,-13.34%
AA,07/18/18,47.98,48.75,47.32,47.96,3932663,-0.06,-0.12%
AA,07/17/18,47.40,48.29,47.40,48.02,2203008,0.61,1.29%
AA,07/16/18,47.54,48.08,46.76,47.41,2714124,0.15,0.32%
AA,07/13/18,47.68,47.85,47.02,47.26,1350412,-0.14,-0.30%
AA,07/12/18,48.10,48.29,47.15,47.40,1893837,-0.66,-1.37%
AA,07/11/18,46.91,48.30,46.59,48.06,2847293,0.17,0.35%
AA,07/10/18,48.05,48.87,47.52,47.89,2232354,-0.40,-0.83%
AA,07/09/18,47.94,48.56,47.57,48.29,2370238,1.15,2.44%
AA,07/06/18,46.49,47.24,46.02,47.14,2184835,0.26,0.55%
AA,07/05/18,46.26,47.50,46.17,46.88,2250942,1.08,2.36%
AA,07/03/18,,45.80,45.80,45.80,0,-0.08,-0.17%
AA,07/02/18,46.46,47.29,45.49,45.88,2150764,-1.00,-2.13%
AA,06/29/18,46.19,47.32,46.09,46.88,3118855,0.41,0.88%
AA,06/28/18,45.23,46.68,45.07,46.47,2272953,0.73,1.60%
AA,06/27/18,45.68,47.05,45.47,45.74,2468646,-0.06,-0.13%
AA,06/26/18,44.51,45.96,44.08,45.80,3918181,1.54,3.48%
AA,06/25/18,45.13,45.13,43.59,44.26,2281908,-1.30,-2.85%
AA,06/22/18,45.45,45.78,45.26,45.56,3383121,0.75,1.67%
AA,06/21/18,45.01,45.43,44.57,44.81,2251182,-0.46,-1.02%
AA,06/20/18,44.88,45.43,44.33,45.27,2160543,0.80,1.80%
AA,06/19/18,44.63,44.63,43.35,44.47,3320095,-1.31,-2.86%
AA,06/18/18,45.01,45.87,45.00,45.78,2832691,0.44,0.97%
AA,06/15/18,,47.84,45.03,45.34,4962449,-2.50,-5.23%
AA,06/14/18,48.44,48.65,47.64,47.84,2167992,-0.51,-1.05%
AA,06/13/18,49.34,49.49,48.28,48.35,2587351,-0.94,-1.91%
AA,06/12/18,49.98,50.13,49.11,49.29,1561916,-0.63,-1.26%
AA,06/11/18,48.50,50.59,48.18,49.92,4973497,1.40,2.89%
AA,06/08/18,49.01,49.49,48.44,48.52,2299265,-0.67,-1.36%
AA,06/07/18,50.04,50.12,48.54,49.19,4036642,-0.94,-1.88%
AA,06/06/18,49.89,50.19,49.17,50.13,2873218,0.68,1.38%
AA,06/05/18,48.62,49.50,48.42,49.45,2433970,0.99,2.04%
AA,06/04/18,48.13,48.82,48.13,48.46,2229454,0.82,1.72%
AA,06/01/18,48.39,48.62,47.47,47.64,2442152,-0.43,-0.89%
AA,05/31/18,49.98,50.43,47.81,48.07,4026718,-0.47,-0.97%
AA,05/30/18,48.11,48.66,47.50,48.54,1680629,1.24,2.62%
AA,05/29/18,47.57,47.95,46.82,47.30,1973444,-0.63,-1.31%
AA,05/25/18,,47.93,47.93,47.93,0,-1.22,-2.48%
AA,05/24/18,48.62,49.44,48.55,49.15,1867241,0.58,1.19%
AA,05/23/18,49.26,49.38,48.31,48.57,2276087,-1.12,-2.25%
AA,05/22/18,50.68,50.90,49.60,49.69,2548548,-0.68,-1.35%
AA,05/21/18,51.20,51.20,50.15,50.37,2446251,-0.46,-0.90%
AA,05/18/18,50.53,51.05,50.35,50.83,3011306,0.12,0.24%
AA,05/17/18,49.83,51.09,49.83,50.71,2887531,0.52,1.04%
AA,05/16/18,50.54,50.67,49.54,50.19,5433301,-0.35,-0.69%
AA,05/15/18,51.79,51.95,50.40,50.54,6215470,-1.79,-3.42%
AA,05/14/18,54.38,54.51,52.00,52.33,4376313,-1.63,-3.02%
AA,05/11/18,53.79,54.25,53.37,53.96,3978772,0.17,0.32%
AA,05/10/18,53.40,54.01,53.09,53.79,3321925,0.30,0.56%
AA,05/09/18,53.72,54.13,53.18,53.49,3647507,-0.27,-0.50%
AA,05/08/18,54.26,54.65,53.44,53.76,2751524,-0.79,-1.45%
AA,05/07/18,54.80,55.38,54.32,54.55,3893039,0.16,0.29%
AA,05/04/18,53.04,54.46,52.65,54.39,2598700,1.11,2.08%
AA,05/03/18,52.83,53.76,52.63,53.28,4050792,0.21,0.40%
AA,05/02/18,52.45,53.50,52.21,53.07,3375510,1.08,2.08%
AA,05/01/18,51.04,52.43,50.11,51.99,2526305,0.79,1.54%
AA,04/30/18,51.40,51.87,51.06,51.20,2749520,-0.40,-0.78%
AA,04/27/18,52.56,52.99,51.10,51.60,4355251,-1.34,-2.53%
AA,04/26/18,54.25,55.08,52.40,52.94,5842575,0.99,1.91%
AA,04/25/18,50.59,52.43,49.97,51.95,4760653,1.13,2.22%
AA,04/24/18,51.47,52.20,49.90,50.82,7257135,-1.08,-2.08%
AA,04/23/18,54.56,54.91,51.50,51.90,13130925,-8.11,-13.51%
AA,04/20/18,59.82,60.14,57.49,60.01,7635803,-0.22,-0.37%
AA,04/19/18,60.54,62.35,59.56,60.23,11778217,0.83,1.40%
AA,04/18/18,58.26,60.28,57.25,59.40,8668115,2.32,4.06%
AA,04/17/18,55.37,57.49,54.76,57.08,6074588,2.05,3.73%
AA,04/16/18,55.55,56.50,54.40,55.03,5572653,0.07,0.13%
AA,04/13/18,54.95,55.38,54.27,54.96,2685759,0.49,0.90%
AA,04/12/18,53.70,55.33,53.17,54.47,5726089,0.50,0.93%
AA,04/11/18,53.80,54.89,52.65,53.97,5434601,-0.11,-0.20%
AA,04/10/18,51.80,55.18,51.65,54.08,8973514,3.46,6.84%
AA,04/09/18,49.78,52.02,49.32,50.62,6809855,2.57,5.35%
AA,04/06/18,47.18,48.74,47.10,48.05,4066842,0.44,0.92%
AA,04/05/18,47.20,48.73,47.15,47.61,2978105,0.69,1.47%
AA,04/04/18,44.40,47.07,44.21,46.92,3667405,1.57,3.46%
AA,04/03/18,44.63,45.64,44.63,45.35,2911832,1.01,2.28%
AA,04/02/18,44.86,46.12,43.80,44.34,2139615,-0.62,-1.38%
AA,03/29/18,,44.96,44.96,44.96,0,0.54,1.22%
AA,03/28/18,44.51,44.92,43.69,44.42,1661495,-0.48,-1.07%
AA,03/27/18,46.25,46.49,44.63,44.90,4204840,-0.87,-1.90%
AA,03/26/18,45.26,46.53,44.27,45.77,5187007,1.06,2.37%
AA,03/23/18,45.17,46.00,44.60,44.71,3256161,-0.21,-0.47%
AA,03/22/18,47.40,48.09,44.86,44.92,4369776,-3.03,-6.32%
AA,03/21/18,46.42,48.06,46.31,47.95,2138076,1.48,3.18%
AA,03/20/18,46.37,47.06,46.05,46.47,1515361,0.11,0.24%
AA,03/19/18,47.03,47.68,45.76,46.36,2509146,-0.87,-1.84%
AA,03/16/18,46.80,47.92,46.74,47.23,3129709,0.30,0.64%
AA,03/15/18,46.45,47.11,45.71,46.93,3007761,0.36,0.77%
AA,03/14/18,49.09,49.43,46.21,46.57,4121856,-2.02,-4.16%
AA,03/13/18,48.43,49.85,48.43,48.59,2746042,0.23,0.48%
AA,03/12/18,48.01,48.68,47.91,48.36,1495645,0.50,1.04%
AA,03/09/18,48.05,48.59,47.23,47.86,2768899,0.39,0.82%
AA,03/08/18,47.88,48.73,46.54,47.47,3255694,-0.41,-0.86%
AA,03/07/18,,48.26,,47.88,3654059,0.89,1.89%
AA,03/06/18,46.19,47.52,46.03,46.99,4426006,1.34,2.94%
AA,03/05/18,45.18,46.46,44.85,45.65,4587974,0.11,0.24%
AA,03/02/18,44.72,46.18,44.14,45.54,3707749,0.47,1.04%
AA,03/01/18,45.93,46.44,44.58,45.07,6501513,0.10,0.22%
AA,02/28/18,46.25,46.84,44.94,44.97,2836319,-1.25,-2.70%
AA,02/27/18,46.50,47.17,45.66,46.22,3246270,-0.46,-0.99%
AA,02/26/18,47.42,47.58,46.14,46.68,3562019,-0.02,-0.04%
AA,02/23/18,48.06,48.14,46.58,46.70,3097983,-1.31,-2.73%
AA,02/22/18,48.01,48.40,46.83,48.01,4221321,0.46,0.97%
AA,02/21/18,48.21,48.95,47.24,47.55,3194596,-0.52,-1.08%
AA,02/20/18,46.84,48.74,46.76,48.07,4589494,0.71,1.50%
AA,02/16/18,,47.36,47.36,47.36,0,-0.21,-0.44%
AA,02/15/18,48.99,48.99,46.19,47.57,5112949,-0.97,-2.00%
AA,02/14/18,46.71,48.65,46.56,48.54,2431559,1.24,2.62%
AA,02/13/18,46.39,47.97,46.12,47.30,2810956,0.65,1.39%
AA,02/12/18,46.05,47.13,45.82,46.65,3495927,0.73,1.59%
AA,02/09/18,46.54,47.06,44.15,45.92,4579584,-0.06,-0.13%
AA,02/08/18,47.81,48.24,45.55,45.98,3896943,-1.72,-3.61%
AA,02/07/18,49.23,49.25,47.67,47.70,3176365,-1.73,-3.50%
AA,02/06/18,47.44,50.20,47.28,49.43,3163188,0.58,1.19%
AA,02/05/18,48.61,50.75,47.80,48.85,3865036,-0.24,-0.49%
AA,02/02/18,52.00,52.00,49.00,49.09,6060454,-3.33,-6.35%
AA,02/01/18,51.41,52.50,51.27,52.42,3175832,0.40,0.77%
AA,01/31/18,52.75,53.36,51.25,52.02,4470151,-0.50,-0.95%
AA,01/30/18,53.67,53.91,52.52,52.52,3655396,-1.97,-3.62%
AA,01/29/18,53.89,54.63,53.52,54.49,4648540,0.49,0.91%
AA,01/26/18,53.55,54.40,53.48,54.00,2747894,0.89,1.68%
AA,01/25/18,53.74,53.89,52.72,53.11,3761240,-0.19,-0.36%
AA,01/24/18,52.90,53.85,52.39,53.30,2521375,0.81,1.54%
AA,01/23/18,52.34,52.90,51.73,52.49,4891955,-0.45,-0.85%
AA,01/22/18,52.80,53.90,52.26,52.94,4214164,-0.16,-0.30%
AA,01/19/18,52.86,53.68,52.55,53.10,5759602,0.10,0.19%
AA,01/18/18,53.67,53.87,51.72,53.00,19514352,-3.99,-7.00%
AA,01/17/18,56.03,57.04,55.58,56.99,8139786,0.75,1.33%
AA,01/16/18,56.09,57.04,55.46,56.24,3887818,-0.52,-0.92%
AA,01/12/18,,56.76,56.76,56.76,0,-0.15,-0.26%
AA,01/11/18,56.60,57.13,55.87,56.91,2742680,0.74,1.32%
AA,01/10/18,54.37,56.26,54.23,56.17,5056024,1.97,3.63%
AA,01/09/18,55.00,55.08,54.00,54.20,3533011,-0.80,-1.45%
AA,01/08/18,53.96,56.15,53.66,55.00,5028283,0.91,1.68%
AA,01/05/18,54.65,54.66,53.41,54.09,3371375,-0.61,-1.12%
AA,01/04/18,54.81,55.43,54.08,54.70,3555132,0.20,0.37%
AA,01/03/18,54.92,55.15,52.96,54.50,4099473,-0.67,-1.21%
AA,01/02/18,54.06,55.22,53.91,55.17,2929046,1.30,2.41%
AA,12/29/17,,53.87,53.87,53.87,0,-0.27,-0.50%
AA,12/28/17,52.05,54.20,52.02,54.14,5701239,2.30,4.44%
AA,12/27/17,50.55,51.93,50.20,51.84,2963099,1.46,2.90%
AA,12/26/17,49.98,50.50,49.21,50.38,2759809,0.39,0.78%
AA,12/22/17,49.27,50.04,48.81,49.99,2428317,1.00,2.04%
AA,12/21/17,49.28,49.68,48.77,48.99,3055816,-0.27,-0.55%
AA,12/20/17,48.20,49.67,47.63,49.26,7163321,2.74,5.89%
AA,12/19/17,44.67,46.54,44.66,46.52,5960336,1.95,4.38%
AA,12/18/17,42.81,44.69,42.76,44.57,3175121,1.96,4.60%
AA,12/15/17,42.80,43.14,42.28,42.61,4536769,0.26,0.61%
AA,12/14/17,42.00,42.38,41.96,42.35,3684385,0.49,1.17%
AA,12/13/17,42.45,42.56,41.72,41.86,4146333,-0.54,-1.27%
AA,12/12/17,42.39,42.88,42.19,42.40,3421527,0.16,0.38%
AA,12/11/17,,,,42.24,4053147,0.84,2.03%
AA,12/08/17,41.00,41.77,40.90,41.40,3696876,0.80,1.97%
AA,12/07/17,41.13,41.19,40.27,40.60,3426852,-0.71,-1.72%
AA,12/06/17,40.80,41.49,40.30,41.31,5437972,0.13,0.32%
AA,12/05/17,41.37,41.86,40.95,41.18,2855505,-0.61,-1.46%
AA,12/04/17,41.87,42.30,41.50,41.79,2709852,0.15,0.36%
AA,12/01/17,41.82,42.30,40.74,41.64,3750947,0.13,0.31%
AA,11/30/17,41.50,42.16,41.13,41.51,4407431,0.27,0.65%
AA,11/29/17,42.19,42.32,40.80,41.24,4938771,-2.06,-4.76%
AA,11/28/17,41.81,43.75,41.21,43.30,8603230,1.26,3.00%
AA,11/27/17,42.15,42.42,41.49,42.04,3091759,-0.17,-0.40%
AA,11/24/17,42.80,42.90,42.09,42.21,1306136,-0.43,-1.01%
AA,11/22/17,41.84,42.68,41.78,42.64,3254640,1.25,3.02%
AA,11/21/17,42.73,42.73,40.22,41.39,6257894,-0.82,-1.94%
AA,11/20/17,42.29,42.55,41.75,42.21,4846234,-1.19,-2.74%
AA,11/17/17,42.00,43.60,42.00,43.40,3569226,1.10,2.60%
AA,11/16/17,42.68,43.08,42.06,42.30,3350744,0.09,0.21%
AA,11/15/17,41.27,42.37,40.73,42.21,4733935,0.34,0.81%
AA,11/14/17,42.90,42.90,40.62,41.87,8096739,-1.26,-2.92%
AA,11/13/17,42.70,43.87,42.55,43.13,3167578,0.12,0.28%
AA,11/10/17,42.93,44.46,42.75,43.01,4465339,-0.32,-0.74%
AA,11/09/17,44.71,44.71,43.11,43.33,7671919,-2.56,-5.58%
AA,11/08/17,46.73,46.77,45.37,45.89,3347930,-1.08,-2.30%
AA,11/07/17,47.11,47.20,46.54,46.97,2168351,-0.32,-0.68%
AA,11/06/17,47.20,47.68,46.53,47.29,1726647,0.17,0.36%
AA,11/03/17,47.25,47.43,46.71,47.12,1839001,-0.34,-0.72%
AA,11/02/17,47.68,47.77,47.07,47.46,2059018,-0.24,-0.50%
AA,11/01/17,48.91,49.27,47.45,47.70,3174957,-0.08,-0.17%
AA,10/31/17,47.15,48.07,46.38,47.78,2721478,0.36,0.76%
AA,10/30/17,47.75,48.38,47.37,47.42,2072294,-0.49,-1.02%
AA,10/27/17,47.83,48.25,47.01,47.91,3870215,-1.24,-2.52%
AA,10/26/17,49.52,49.73,48.52,49.15,3468320,-0.37,-0.75%
AA,10/25/17,49.73,49.88,48.51,49.52,3750668,-0.56,-1.12%
AA,10/24/17,48.13,50.31,48.06,50.08,6702471,2.15,4.49%
AA,10/23/17,48.04,48.56,47.83,47.93,4020038,0.00,0.00%
AA,10/20/17,47.13,48.13,47.06,47.93,4209075,1.39,2.99%
AA,10/19/17,46.50,47.74,46.01,46.54,6033117,-1.21,-2.53%
AA,10/18/17,47.38,47.84,46.51,47.75,4693468,-0.02,-0.04%
AA,10/17/17,48.65,48.72,47.42,47.77,3957540,-0.47,-0.97%
AA,10/16/17,48.00,48.93,47.48,48.24,4681749,0.53,1.11%
AA,10/13/17,48.32,48.63,47.62,47.71,3288641,0.18,0.38%
AA,10/12/17,46.95,47.77,46.80,47.53,3027556,0.59,1.26%
AA,10/11/17,46.72,47.00,46.21,46.94,2727964,0.05,0.11%
AA,10/10/17,47.28,47.45,46.58,46.89,3578577,-0.18,-0.38%
AA,10/09/17,47.63,47.72,46.58,47.07,2235684,-0.42,-0.88%
AA,10/06/17,47.89,47.89,47.30,47.49,3963549,-0.76,-1.58%
AA,10/05/17,48.08,48.73,47.65,48.25,3191580,0.34,0.71%
AA,10/04/17,48.27,49.30,47.75,47.91,4124246,-0.40,-0.83%
AA,10/03/17,47.97,48.33,47.44,48.31,3313591,0.66,1.39%
AA,10/02/17,46.43,48.03,46.41,47.65,4042828,1.03,2.21%
AA,09/29/17,46.45,47.00,45.90,46.62,3825604,0.54,1.17%
AA,09/28/17,45.07,46.46,44.81,46.08,5282162,1.01,2.24%
AA,09/27/17,45.28,45.56,44.48,45.07,2391140,0.33,0.74%
AA,09/26/17,45.11,45.52,44.72,44.74,4539129,-0.55,-1.21%
AA,09/25/17,45.33,45.70,44.62,45.29,3071297,-0.09,-0.20%
AA,09/22/17,45.31,45.78,44.67,45.38,3224564,-0.87,-1.88%
AA,09/21/17,47.11,47.25,45.97,46.25,3695461,-1.25,-2.63%
AA,09/20/17,46.98,47.95,46.53,47.50,7304985,1.30,2.81%
AA,09/19/17,45.22,46.44,44.86,46.20,4854488,1.29,2.87%
AA,09/18/17,44.80,45.09,44.66,44.91,3224782,0.26,0.58%
